sample_label	d1	d2
c2sp1s1	10.5	9
c2sp1s2	10.56717	9.268445
c2sp1s3	8.27532	11.38221
c2sp1s4	8.227458	11.37764
c2sp1s5	8.179511	11.37211
c2sp1s6	8.1315	11.36561
c2sp1s7	8.083443	11.35814
c2sp1s8	8.035361	11.3497
c2sp1s9	7.98727	11.34027
c2sp1s10	7.9392	11.32987
c2sp1s11	7.89116	11.31848
c2sp1s12	7.84317	11.30611
c2sp1s13	10.57166	9.29981
c2sp1s14	7.79526	11.29275
c2sp1s15	7.74744	11.2784
c2sp1s16	7.69974	11.26305
c2sp1s17	7.65217	11.24672
c2sp1s18	7.60476	11.22939
c2sp1s19	7.55752	11.21107
c2sp1s20	7.51048	11.19176
c2sp1s21	7.46366	11.17146
c2sp1s22	7.41707	11.15017
c2sp1s23	7.37075	11.12789
c2sp1s24	10.57552	9.331439
c2sp1s25	7.3247	11.10463
c2sp1s26	7.27896	11.08039
c2sp1s27	7.23353	11.05516
c2sp1s28	7.18845	11.02896
c2sp1s29	7.14373	11.00179
c2sp1s30	7.09939	10.97365
c2sp1s31	7.05546	10.94454
c2sp1s32	7.01195	10.91448
c2sp1s33	6.96888	10.88347
c2sp1s34	6.92628	10.85151
c2sp1s35	10.57873	9.363319
c2sp1s36	6.88417	10.81862
c2sp1s37	6.84256	10.78479
c2sp1s38	6.80148	10.75003
c2sp1s39	6.76095	10.71436
c2sp1s40	6.72098	10.67778
c2sp1s41	6.6816	10.64031
c2sp1s42	6.64282	10.60194
c2sp1s43	6.60467	10.56269
c2sp1s44	6.56716	10.52257
c2sp1s45	6.53032	10.48159
c2sp1s46	10.58131	9.395437
c2sp1s47	6.49417	10.43975
c2sp1s48	6.45871	10.39709
c2sp1s49	6.42398	10.35359
c2sp1s50	6.38998	10.30928
c2sp1s51	6.35675	10.26417
c2sp1s52	6.32429	10.21826
c2sp1s53	6.29262	10.17159
c2sp1s54	6.26177	10.12415
c2sp1s55	6.23175	10.07596
c2sp1s56	6.20257	10.02704
c2sp1s57	10.58323	9.42778
c2sp1s58	6.17426	9.977395
c2sp1s59	6.14683	9.927051
c2sp1s60	6.1203	9.876019
c2sp1s61	6.09468	9.824315
c2sp1s62	6.06999	9.771955
c2sp1s63	6.04624	9.718957
c2sp1s64	6.02345	9.665337
c2sp1s65	6.00164	9.611113
c2sp1s66	5.98082	9.556302
c2sp1s67	5.96101	9.500922
c2sp1s68	10.58448	9.460335
c2sp1s69	5.94221	9.444993
c2sp1s70	5.92444	9.388533
c2sp1s71	5.90772	9.331561
c2sp1s72	5.89206	9.274096
c2sp1s73	5.87747	9.216158
c2sp1s74	5.86397	9.157767
c2sp1s75	5.85155	9.0989439
c2sp1s76	5.84025	9.0397087
c2sp1s77	5.83006	8.9800824
c2sp1s78	5.821	8.9200863
c2sp1s79	10.58508	9.493089
c2sp1s80	5.81308	8.859742
c2sp1s81	5.80631	8.79907
c2sp1s82	5.8007	8.738094
c2sp1s83	5.79626	8.676835
c2sp1s84	5.79299	8.615316
c2sp1s85	5.7909	8.553559
c2sp1s86	5.79001	8.491588
c2sp1s87	5.79032	8.429425
c2sp1s88	5.79183	8.367093
c2sp1s89	5.79456	8.304617
c2sp1s90	10.58499	9.526028
c2sp1s91	5.79851	8.242019
c2sp1s92	5.80368	8.179323
c2sp1s93	5.81007	8.116554
c2sp1s94	5.81771	8.053736
c2sp1s95	5.82658	7.99089
c2sp1s96	5.83669	7.92805
c2sp1s97	5.84805	7.86523
c2sp1s98	5.86065	7.80246
c2sp1s99	5.87451	7.73976
c2sp1s100	5.88962	7.67716
c2sp1s101	10.58422	9.559137
c2sp1s102	5.90598	7.61468
c2sp1s103	5.92359	7.55235
c2sp1s104	5.94245	7.49019
c2sp1s105	5.96257	7.42824
c2sp1s106	5.98395	7.3665
c2sp1s107	6.00657	7.30502
c2sp1s108	6.03044	7.24381
c2sp1s109	6.05556	7.1829
c2sp1s110	6.08192	7.12231
c2sp1s111	6.10953	7.06207
c2sp1s112	10.50973	9.0284611
c2sp1s113	10.58277	9.592403
c2sp1s114	6.13837	7.00221
c2sp1s115	6.16844	6.94275
c2sp1s116	6.19974	6.88372
c2sp1s117	6.23226	6.82513
c2sp1s118	6.266	6.76703
c2sp1s119	6.30095	6.70942
c2sp1s120	6.33711	6.65234
c2sp1s121	6.37445	6.59582
c2sp1s122	6.41299	6.53986
c2sp1s123	6.4527	6.48451
c2sp1s124	10.58062	9.625812
c2sp1s125	6.49359	6.42979
c2sp1s126	6.53563	6.37571
c2sp1s127	6.57882	6.32231
c2sp1s128	6.62316	6.26961
c2sp1s129	6.66862	6.21763
c2sp1s130	6.7152	6.1664
c2sp1s131	6.76289	6.11593
c2sp1s132	6.81167	6.06626
c2sp1s133	6.86153	6.01741
c2sp1s134	6.91245	5.9694
c2sp1s135	10.57777	9.659349
c2sp1s136	6.96443	5.92225
c2sp1s137	7.01744	5.87599
c2sp1s138	7.07148	5.83063
c2sp1s139	7.12652	5.7862
c2sp1s140	7.18256	5.74273
c2sp1s141	7.23957	5.70023
c2sp1s142	7.29754	5.65873
c2sp1s143	7.35644	5.61824
c2sp1s144	7.41628	5.57878
c2sp1s145	7.47701	5.54039
c2sp1s146	10.57421	9.692999
c2sp1s147	7.53864	5.50307
c2sp1s148	7.60113	5.46685
c2sp1s149	7.66446	5.43174
